# Constructed from biom file
#OTU ID	H19	H20	H21	H22	H23	H24	H25	H26	H3	H43	H44	H45	H46	H47	H48	H49	H56	H57	H59	H60	TonguemCP1	TonguemCP10	TonguemCP11	TonguemCP12	TonguemCP13	TonguemCP2	TonguemCP3	TonguemCP4	TonguemCP5	TonguemCP6	TonguemCP7	TonguemCP8	TonguemCP9	TongueR1	TongueR2	TongueR3	TongueR4	TongueR5	TongueR6	TongueR7	TongueR8	TonguesCP1	TonguesCP11	TonguesCP12	TonguesCP13	TonguesCP2	TonguesCP3	TonguesCP5	TonguesCP6	TonguesCP7	TonguesCP8	TonguesCP9
ef462a13913f3303d59e607f9c8e3ad3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	34.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0
0b5ecf673509e6fc755870e4e31f200e	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	80.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	576.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0
55d52c821e3b98ab7b9d047c262037af	0.0	135.0	34.0	18.0	0.0	0.0	0.0	281.0	7.0	28.0	0.0	0.0	32.0	21.0	0.0	9.0	96.0	67.0	0.0	0.0	6.0	0.0	4.0	0.0	0.0	52.0	0.0	131.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	59.0	1319.0	0.0	1070.0	0.0	0.0	204.0	0.0	0.0	48.0	148.0	0.0	57.0	0.0
7bc34723939710031fa0bd32dad94742	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fded2782fc71dc1ad2c1b4857cbd45c8	24.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	127.0	5.0	28.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0
eb991b61b844a5c0b0e0f55dee80f6f1	0.0	0.0	0.0	10.0	33.0	0.0	0.0	0.0	47.0	0.0	35.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	474.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0
d29c12050fdf8d3ccd3d3cfc8663bc33	76.0	23.0	44.0	11.0	44.0	22.0	44.0	41.0	9.0	37.0	4.0	10.0	74.0	4.0	27.0	113.0	29.0	7.0	64.0	26.0	11.0	22.0	15.0	0.0	52.0	6.0	26.0	9.0	2.0	6.0	4.0	4.0	2.0	19.0	7.0	7.0	2.0	13.0	21.0	3.0	2.0	3.0	5.0	22.0	9.0	1.0	6.0	8.0	1.0	5.0	1.0	1.0
7676bba932f867d0a704e00ba2d8c399	0.0	26.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	31.0	0.0	0.0	0.0	0.0	4.0	28.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	19.0	0.0	0.0	31.0	0.0	0.0	103.0	0.0	0.0
fa400e998d9793af5747845d72df743f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2762.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cce0df91ebc1b074e6e6bcb5301b8ba4	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
fbc188ac8dad9e00df42e2684c43e411	204.0	243.0	18.0	195.0	100.0	212.0	22.0	167.0	95.0	170.0	468.0	11.0	17.0	53.0	47.0	389.0	30.0	35.0	137.0	0.0	96.0	0.0	55.0	0.0	0.0	39.0	20.0	74.0	7.0	0.0	0.0	59.0	8.0	19.0	12.0	0.0	45.0	1060.0	136.0	23.0	45.0	5.0	71.0	9.0	37.0	64.0	276.0	37.0	135.0	40.0	21.0	0.0
09acbdfe190687c1e5fcb1c29890292f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	643.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46634fd8f1b65419674c3f274feb7bc5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	24.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	23.0	0.0	0.0	0.0	0.0	3.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
